otus	freshwater	soda	soda-saline	saline	tax	type
Otu00937	1	0	0	0	Kapabacteriales_fa	freshwater
Otu00938	0	0	1	0	Mycobacteriaceae	soda-saline
Otu00942	1	0	0	0	Rubinisphaeraceae	freshwater
Otu00944	0	0	0	1	Rhodobacteraceae	saline
Otu00946	0	0	0	1	Flavobacteriaceae	saline
Otu00954	0	0	0	1	Flavobacteriaceae	saline
Otu00957	0	1	1	0	PeM15_fa	soda,soda-saline
Otu00958	0	0	1	0	Microscillaceae	soda-saline
Otu00959	0	0	0	1	Cyclobacteriaceae	saline
Otu00962	0	0	0	1	alfVI	saline
Otu00969	1	0	0	0	Methylomonadaceae	freshwater
Otu00990	1	0	0	0	acIV	freshwater
Otu00993	1	0	0	0	betI	freshwater
Otu00997	0	0	0	1	Saprospiraceae	saline
Otu00999	1	0	0	0	Pirellulaceae	freshwater
Otu01007	0	0	1	0	Bacteriovoracaceae	soda-saline
Otu01014	0	1	1	0	Rhodobacteraceae	soda,soda-saline
Otu01018	1	0	0	0	Chitinophagaceae	freshwater
Otu01020	0	0	1	0	Phycisphaeraceae	soda-saline
Otu01023	1	0	0	0	verI-B	freshwater
Otu01032	1	0	0	0	Cyanobiaceae	freshwater
Otu01046	1	0	0	0	Chitinophagaceae	freshwater
Otu01048	0	0	0	1	Rhodobacteraceae	saline
Otu01049	1	0	0	0	env.OPS_17	freshwater
Otu01053	0	0	0	1	Cyclobacteriaceae	saline
Otu01057	1	0	0	0	bacII	freshwater
Otu01059	0	0	0	1	Balneolaceae	saline
Otu01061	1	0	0	0	Pirellulaceae	freshwater
Otu01063	0	0	1	0	Saprospiraceae	soda-saline
Otu01070	0	1	0	0	PeM15_fa	soda
Otu01071	1	0	0	0	bacIV	freshwater
Otu01075	1	0	0	0	Pirellulaceae	freshwater
Otu01078	0	1	1	0	Halieaceae	soda,soda-saline
Otu01079	1	0	0	0	Ilumatobacteraceae	freshwater
Otu01090	1	0	0	0	Pirellulaceae	freshwater
Otu01098	1	0	0	0	Xanthomonadaceae	freshwater
Otu01105	0	1	1	0	Halieaceae	soda,soda-saline
Otu01107	0	0	1	0	unclassified	soda-saline
Otu01108	0	0	0	1	Rhodobacteraceae	saline
Otu01109	0	0	0	1	Flavobacteriaceae	saline
Otu01118	0	0	0	1	Candidatus_Kaiserbacteria_fa	saline
Otu01122	1	0	0	0	Rhodocyclaceae	freshwater
Otu01130	0	1	1	0	Saprospiraceae	soda,soda-saline
Otu01131	1	0	0	0	DEV007	freshwater
Otu01138	0	0	1	0	Rubritaleaceae	soda-saline
Otu01153	0	0	1	0	1peraceae	soda-saline
Otu01157	0	1	1	0	Pirellulaceae	soda,soda-saline
Otu01176	0	0	1	0	unclassified	soda-saline
Otu01180	0	0	1	0	Absconditabacteriales_(SR1)_fa	soda-saline
Otu01190	1	0	0	0	PeM15_fa	freshwater
Otu01192	1	0	0	0	0319-6G20_fa	freshwater
Otu01199	1	0	0	0	alfVIII	freshwater
Otu01200	1	0	0	0	alfVI	freshwater
Otu01213	0	0	1	0	Phycisphaeraceae	soda-saline
Otu01215	0	0	0	1	Rhodobacteraceae	saline
Otu01219	0	0	0	1	Idiomarinaceae	saline
Otu01228	0	0	1	0	Crocinitomicaceae	soda-saline
Otu01235	1	0	0	0	unclassified	freshwater
Otu01237	1	0	0	0	unclassified	freshwater
Otu01238	0	0	1	0	Cryomorphaceae	soda-saline
Otu01239	1	0	0	0	unclassified	freshwater
Otu01261	1	0	0	0	Chitinophagaceae	freshwater
Otu01266	0	0	1	0	Anaerolineaceae	soda-saline
Otu01283	1	0	0	0	unclassified	freshwater
Otu01287	0	0	0	1	Cryomorphaceae	saline
Otu01294	1	0	0	0	betI	freshwater
Otu01309	0	0	0	1	unclassified	saline
Otu01310	0	0	1	0	Oligoflexaceae	soda-saline
Otu01315	1	0	0	0	Rhodocyclaceae	freshwater
Otu01318	1	0	0	0	Pedosphaeraceae	freshwater
Otu01339	1	0	0	0	Luna1	freshwater
Otu01349	1	0	0	0	betI	freshwater
Otu01360	1	0	0	0	unclassified	freshwater
Otu01373	1	0	0	0	Saprospiraceae	freshwater
Otu01394	0	0	1	0	BD2-11_terrestrial_group_fa	soda-saline
Otu01397	1	0	0	0	Crocinitomicaceae	freshwater
